id,id,dist,x0,y0,z0,absmag,mag,vx,vy,vz,spect,sy_pnum
1457,0,353.1921,123.253,0.578,330.988,-0.175,7.565,-1.45E-06,4.762576851999999e-06,-2.71E-05,B,0
1460,88,149.7938,98.647,0.463,-112.724,-0.167,5.71,6.535768018999999e-06,-1.27E-05,-1.44E-05,G,0
1484,0,261.1514,120.629,0.574,-231.621,2.799,9.883,2.62309651252e-05,3.40462924186e-05,1.374606409e-05,F,0
1502,89,424.275,254.344,1.23,339.584,-0.268,7.87,-8.41E-06,-2.76E-08,-9.99E-06,K,0
1518,90,113.4913,84.488,0.413,-75.775,2.365,7.64,-7.99E-06,1.3838045187999998e-05,-2.84E-05,F,0
1521,91,298.0432,296.475,1.452,-30.504,0.289,7.66,9.411710349799998e-06,-1.99E-05,-8.66E-06,K,0
1533,0,322.9587,196.674,0.968,-256.165,1.923,9.469,-2.92E-05,5.04495882286e-05,-2.61E-05,G,0
1541,0,358.778,291.183,1.442,209.599,1.819,9.593,6.4560510674e-06,-8.39E-06,-2.33E-05,F,0
1564,0,1140.7572,835.597,4.196,776.587,-0.719,9.567,8.845515590999998e-06,-2.74E-05,-5.41E-05,M,0
1581,92,414.9453,388.139,1.969,-146.71,0.59,8.68,1.21435489604e-05,5.35370870848e-05,2.8570351050999995e-05,G,0
1589,93,63.6542,63.653,0.325,-0.085,4.101,8.12,-3.13E-06,1.29969291474e-05,-2.00E-05,G,0
1595,0,592.6016,217.199,1.112,551.362,-0.346,8.518,-1.27E-05,2.78641406208e-05,-6.10E-07,K,0
1629,0,1061.9013,776.294,4.062,724.559,-0.957,9.173,-1.02E-05,-4.69E-05,-3.36E-05,M,0
1638,95,149.7273,146.473,0.772,-31.038,2.793,8.67,1.17848226782e-05,-7.43E-06,-1.20E-05,F,0
1665,98,134.4673,81.3,0.436,-107.105,4.227,9.87,2.72458232398e-05,-1.06E-06,-3.39E-05,F,0
1668,97,168.5189,156.894,0.842,-61.5,3.347,9.48,7.696773878199999e-06,1.2524759511e-05,-1.59E-06,F,0
1679,0,569.3499,538.293,2.895,-185.45,0.879,9.656,-2.29E-05,-3.75E-05,-0.0001332,G,0
1696,0,824.5538,493.862,2.698,660.29,-0.679,8.902,9.4577008988e-06,-5.49E-07,-1.10E-05,K,0
1698,0,316.6782,316.409,1.732,-12.933,1.677,9.18,-0.000156922,-2.87E-05,-8.02E-05,G,0
1712,0,474.942,374.765,2.061,291.748,0.443,8.826,2.05996779032e-05,1.06585652338e-05,1.7956754353999998e-06,G,0
1714,0,1105.7462,497.816,2.74,987.343,-0.325,9.893,5.943000943e-06,-9.51E-06,-2.97E-06,B,0
1721,100,184.1621,173.336,0.957,62.205,2.114,8.44,9.2267261416e-06,-2.59E-05,-2.53E-05,G,0
1726,0,584.4003,286.739,1.589,-509.217,1.156,9.99,-5.05E-06,7.39752870604e-05,6.802513203199999e-06,A,0
1731,0,222.3132,186.115,1.033,121.587,1.438,8.173,3.91103628696e-05,-4.29E-05,-2.60E-05,K,0
1741,101,250.9401,168.579,0.941,-185.879,2.882,9.88,5.3563659402e-06,-1.69E-05,-4.53E-06,F,0
1746,102,299.2668,224.178,1.254,-198.251,-0.33,7.05,-8.49E-06,2.5225305120399995e-05,-5.81E-05,M,0
1756,103,109.8901,40.504,0.228,-102.153,3.085,8.29,-1.99E-05,-5.68E-06,-7.90E-06,F,0
1780,0,142.0656,139.182,0.793,28.469,3.874,9.636,1.2121064691999998e-06,1.84381221002e-05,-6.44E-06,F,0
1782,104,97.6562,82.906,0.473,-51.605,4.392,9.34,-1.11E-07,-1.86E-05,-3.50E-07,F,0
1788,0,120.7981,47.515,0.272,111.06,3.508,8.918,-1.38E-05,2.30146927318e-05,-2.47E-05,F,0
1790,105,294.8245,96.33,0.551,278.643,0.382,7.73,1.0434744562e-05,-7.44E-06,-3.59E-06,F,0
1793,0,161.3068,140.788,0.806,78.727,3.588,9.626,9.075468336e-07,1.18083289588e-05,-1.74E-06,F,0
1801,0,482.332,330.591,1.899,351.213,-0.106,8.311,2.999605807e-06,1.0618706758e-05,-2.88E-06,A,0
1804,0,502.4335,479.289,2.76,150.71,1.034,9.539,-3.85E-05,6.1637555782e-06,2.00600554616e-05,K,0
1806,106,242.9828,156.244,0.9,186.085,-0.708,6.22,-2.61E-06,1.54773527568e-05,-2.40E-05,K,0
1810,0,1082.0542,892.888,5.154,611.2,-0.219,9.952,1.1127668833599998e-05,2.79142192186e-05,-3.04E-05,M,0
1818,0,869.5669,860.239,4.986,126.928,0.135,9.832,-1.51E-05,-6.66E-05,-0.000102096,K,0
1819,0,389.4075,345.27,2.001,-180.063,1.847,9.799,1.4827352997599998e-05,5.53787530692e-05,-5.61E-06,K,0
1822,0,877.5898,817.977,4.752,317.892,0.255,9.971,-1.38E-05,3.4798493397799994e-05,2.50934655466e-05,K,0
1824,0,143.7421,142.443,0.829,19.264,3.691,9.479,-1.03E-05,-2.46E-05,-5.15E-05,F,0
1831,107,186.0709,118.761,0.692,-143.24,-0.818,5.53,8.730028212399999e-06,7.012025704199999e-06,6.209746127199999e-06,M,0
1837,0,1309.3576,682.561,3.987,-1117.368,-1.106,9.479,-1.05E-05,2.6175776466399995e-05,-7.07E-05,M,0
1848,108,698.5739,237.486,1.395,-656.966,-0.691,8.53,2.93920488598e-05,4.707285991979999e-05,6.56223813498e-05,K,0
