pl_name,hip_name,sy_pnum
GJ 740 b,HIP 93101,1
GJ 806 b,HIP 102401,2
GJ 806 b,HIP 102401,2
GJ 806 c,HIP 102401,2
GJ 832 b,HIP 106440,1
GJ 832 b,HIP 106440,1
GJ 832 b,HIP 106440,1
GJ 832 b,HIP 106440,1
GJ 832 b,HIP 106440,1
GJ 849 b,HIP 109388,2
GJ 849 b,HIP 109388,2
GJ 849 b,HIP 109388,2
GJ 849 b,HIP 109388,2
GJ 849 b,HIP 109388,2
GJ 849 b,HIP 109388,2
GJ 849 b,HIP 109388,2
GJ 849 c,HIP 109388,2
GJ 849 c,HIP 109388,2
GJ 849 c,HIP 109388,2
GJ 86 b,HIP 10138,1
GJ 86 b,HIP 10138,1
GJ 86 b,HIP 10138,1
GJ 876 b,HIP 113020,4
GJ 876 b,HIP 113020,4
GJ 876 b,HIP 113020,4
GJ 876 b,HIP 113020,4
GJ 876 b,HIP 113020,4
GJ 876 b,HIP 113020,4
GJ 876 b,HIP 113020,4
GJ 876 b,HIP 113020,4
GJ 876 c,HIP 113020,4
GJ 876 c,HIP 113020,4
GJ 876 c,HIP 113020,4
GJ 876 c,HIP 113020,4
GJ 876 c,HIP 113020,4
GJ 876 c,HIP 113020,4
GJ 876 c,HIP 113020,4
GJ 876 d,HIP 113020,4
GJ 876 d,HIP 113020,4
GJ 876 d,HIP 113020,4
GJ 876 d,HIP 113020,4
GJ 876 d,HIP 113020,4
GJ 876 d,HIP 113020,4
GJ 876 d,HIP 113020,4
GJ 876 e,HIP 113020,4
GJ 876 e,HIP 113020,4
GJ 876 e,HIP 113020,4
GJ 887 b,HIP 114046,2
GJ 887 c,HIP 114046,2
GJ 896 A b,HIP 116132 A,1
GJ 9066 c,,1
GJ 9066 c,,1
GJ 9404 b,HIP 60093,1
GJ 96 b,HIP 11048,1
GJ 9689 b,HIP 99699,1
GJ 9714 b,HIP 103768,1
GJ 9827 b,HIP 115752,3
GJ 9827 b,HIP 115752,3
GJ 9827 b,HIP 115752,3
GJ 9827 b,HIP 115752,3
GJ 9827 b,HIP 115752,3
GJ 9827 b,HIP 115752,3
GJ 9827 b,HIP 115752,3
GJ 9827 b,HIP 115752,3
GJ 9827 b,HIP 115752,3
GJ 9827 c,HIP 115752,3
GJ 9827 c,HIP 115752,3
GJ 9827 c,HIP 115752,3
GJ 9827 c,HIP 115752,3
